SLC25A4,intracellular
SLC25A31,intracellular
AEBP2,intracellular
AFAP1L1,intracellular
MLLT4,intracellular
AFTPH,intracellular
AGAP9,intracellular
AGO4,intracellular
AGR2,extracellular
ADGRA3,intracellular
ADGRE4P,extracellular
ADGRF1,extracellular
ADGRG4,intracellular
ADGRL1,intracellular
AIF1L,intracellular
AIFM1,intracellular
AKR1A1,intracellular
AKR1B15,intracellular
AKR1C1,intracellular
AKAP11,intracellular
AKR1E2,intracellular
AKAP5,intracellular
AKIRIN1,intracellular
AKNAD1,intracellular
AKT2,intracellular
ALG12,intracellular
ALG5,intracellular
ALKBH4,intracellular
ALKBH5,intracellular
ALK,intracellular
ACCS,intracellular
PPP2R1B,intracellular
EIF4EBP1,intracellular
HTR7,intracellular
NUDT1,intracellular
SERPINA2,intracellular
ADORA1,intracellular
ADORA2A,intracellular
AADAT,intracellular
PRKAB2,intracellular
AAMDC,intracellular
AARD,intracellular
AASS,intracellular
APOBEC3H,intracellular
ABCA1,intracellular
ABCC9,intracellular
ABHD15,extracellular
ABHD8,intracellular
ABHD10,intracellular
ABHD14A,intracellular
ABL2,intracellular
ABL1,intracellular
CHRNB1,intracellular
CHRNG,intracellular
ACKR4,intracellular
ACTL7B,intracellular
SCD,intracellular
ACOT2,intracellular
ACOT4,intracellular
ACOT8,intracellular
ACOX1,intracellular
PPP2R2D,intracellular
HSD3B2,intracellular
PRKAB1,intracellular
PRKAG1,intracellular
PRKAG3,intracellular
AATF,intracellular
APBB1IP,intracellular
ABCC13,intracellular
ABCD1,intracellular
ABTB1,intracellular
ACADVL,intracellular
ACAP2,intracellular
SLC33A1,intracellular
DBI,intracellular
ACAD10,intracellular
ACE2,extracellular
CHRNA3,intracellular
CHRNA5,intracellular
CHRNA6,intracellular
CHRND,intracellular
TNK2,intracellular
ACTL6B,intracellular
ACLY,intracellular
ACCSL,intracellular
PPP2R2C,intracellular
NT5C1A,intracellular
MP68,intracellular
NT5E,intracellular
ATG16L2,intracellular
SERPINF2,extracellular
APP,extracellular
ADORA3,intracellular
AAR2,intracellular
PRKAA2,intracellular
GOT2,intracellular
ABHD12B,intracellular
ABHD17B,extracellular
ABHD17C,intracellular
ABCF2,intracellular
ABHD18,extracellular
ABHD2,intracellular
ABHD5,intracellular
ABHD13,intracellular
ABHD14B,intracellular
ABI2,intracellular
ACAD9,intracellular
ACADL,intracellular
ACBD7,intracellular
YWHAG,intracellular
SFN,extracellular
YWHAZ,intracellular
SH3BP1,intracellular
SH3BP5L,intracellular
EIF4EBP2,intracellular
EIF4ENIF1,intracellular
HTR2C,intracellular
ALDH16A1,intracellular
SERPINA1,ECM
ANKRD20A1,intracellular
ANKRD36BP1,intracellular
A2M,extracellular
A3GALT2,intracellular
A4GALT,intracellular
AADAC,intracellular
AAGAB,intracellular
AAK1,intracellular
ABCA4,intracellular
ABCA10,intracellular
ABCB9,intracellular
ABCB10,intracellular
ABCD2,intracellular
ABCD3,intracellular
ABCF3,intracellular
ABCG4,intracellular
ABCG5,intracellular
ABCG8,intracellular
ABHD16A,intracellular
ABI1,intracellular
ABLIM2,intracellular
ABR,intracellular
ABTB2,intracellular
ACBD4,intracellular
ALDOB,intracellular
ALG9,intracellular
ALKBH2,intracellular
AMER1,intracellular
AMIGO1,intracellular
AMOT,intracellular
AMBRA1,intracellular
AMY2B,extracellular
AMZ1,intracellular
ANP32A,intracellular
ANGEL1,intracellular
ANGEL2,intracellular
ANGPTL1,extracellular
ANGPTL6,extracellular
ANHX,intracellular
ANK2,intracellular
